ORF	 "Empirical phi from data in Beyer et al 2003"
YBR082C	1.264901717
YBR083W	0.089038803
YBR084CA	1.476177424
YBR084W	0.203562232
YBR085W	0.038433454
YBR086C	0.215452405
YBR087W	0.084086706
YBR088C	0.361093469
YBR090C	0.067872288
YBR091C	0.174841178
YBR092C	0.527429316
YBR093C	0.251768183
YBR094W	0.018270922
YBR095C	0.044181141
YBR096W	0.308265718
YBR097W	0.005802892
YBR098W	0.001807695
YBR101C	0.161430243
YBR102C	0.00662716
YBR103W	0.04038295
YBR104W	0.036520413
YBR105C	0.027047832
YBR106W	1.615952865
YBR107C	0.017061271
YBR108W	0.005819185
YBR109C	0.592753385
YBR110W	0.035020298
YBR111C	0.350474755
YBR112C	0.045598795
YBR114W	0.002993272
YBR115C	0.058162855
YBR117C	0.001251159
YBR118W	15.33469025
YBR119W	0.0286909
YBR120C	0.034675336
YBR121C	0.591272852
YBR122C	0.035349153
YBR123C	0.027171585
YBR125C	0.041481255
YBR126C	0.272325765
YBR127C	0.481524844
YBR128C	0.004076128
YBR129C	0.02590921
YBR130C	0.024988273
YBR131W	0.006269818
YBR132C	0.005438987
YBR133C	0.021497457
YBR135W	0.170342492
YBR136W	0.002925991
YBR137W	0.096395743
YBR138C	0.001973332
YBR139W	0.115639037
YBR140C	0.005786132
YBR141C	0.03977152
YBR142W	0.116552334
YBR143C	0.409396909
YBR145W	0.075403427
YBR146W	0.063926534
YBR147W	0.004131793
YBR148W	0.004199971
YBR149W	0.184359944
YBR150C	0.001690821
YBR151W	0.075209776
YBR152W	0.002056318
YBR153W	0.051816072
YBR154C	0.277535702
YBR155W	0.072029593
YBR156C	0.007817099
YBR157C	0.00942774
YBR158W	0.071960098
YBR159W	0.314609803
YBR160W	0.142846886
YBR161W	0.01739011
YBR162C	0.517800982
YBR162WA	0.905102836
YBR163W	0.006801764
YBR164C	0.152625733
YBR165W	0.023249287
YBR166C	0.075689663
YBR167C	0.017263142
YBR168W	0.001152899
YBR169C	0.016118872
YBR170C	0.041055005
YBR171W	0.226024713
YBR172C	0.011223988
YBR173C	0.133787931
YBR175W	0.030339544
YBR176W	0.019487874
YBR177C	0.126087573
YBR179C	0.008955621
YBR180W	0.006945157
YBR181C	3.870676869
YBR182C	0.003915576
YBR183W	0.024682973
YBR184W	0.002152166
YBR185C	0.043480345
YBR186W	0.001012295
YBR187W	0.114976125
YBR188C	0.035533076
YBR189W	1.66262664
YBR191W	13.60777747
YBR192W	0.021153247
YBR193C	0.010922878
YBR194W	0.022893493
YBR195C	0.012581017
YBR196C	1.607867586
YBR197C	0.006135792
YBR198C	0.081074346
YBR199W	0.169840885
YBR200W	0.027126372
YBR201W	0.026686521
YBR202W	0.024444486
YBR203W	0.003978917
YBR204C	0.025298795
YBR205W	0.145696042
YBR207W	0.245330202
YBR208C	0.019705598
YBR210W	0.04314554
YBR211C	0.018927975
YBR212W	0.039890323
YBR213W	0.013013227
YBR214W	0.030376454
YBR215W	0.011393173
YBR216C	0.011139148
YBR217W	0.008336871
YBR218C	0.082769083
YBR219C	0.005026123
YBR220C	0.026330463
YBR221C	0.326437269
YBR222C	0.061151835
YBR223C	0.003582744
YBR225W	0.006004103
YBR227C	0.028001075
YBR228W	0.005566766
YBR229C	0.029802185
YBR230C	0.158686382
YBR231C	0.045953324
YBR233W	0.009610672
YBR234C	0.135365357
YBR235W	0.018447516
YBR236C	0.052703803
YBR237W	0.005727884
YBR238C	0.014565278
YBR239C	0.002752807
YBR240C	0.002360173
YBR241C	0.088728492
YBR242W	0.099370811
YBR243C	0.079531099
YBR244W	0.121905006
YBR245C	0.031115683
YBR246W	0.05225942
YBR247C	0.085926959
YBR248C	0.138328333
YBR249C	0.652290824
YBR250W	0.004922949
YBR251W	0.033798025
YBR252W	0.449268309
YBR253W	0.021667475
YBR254C	0.088941128
YBR255W	0.006301809
YBR256C	0.117435927
YBR257W	0.024497982
YBR258C	0.025220764
YBR259W	0.001853361
YBR260C	0.023217407
YBR261C	0.181372415
YBR262C	0.157791208
YBR263W	0.33244568
YBR264C	0.09333103
YBR265W	0.111984136
YBR267W	0.087303149
YBR268W	0.243350454
YBR269C	0.058994811
YBR270C	0.003391037
YBR271W	0.040384919
YBR272C	0.018927675
YBR273C	0.073902937
YBR274W	0.0212556
YBR275C	0.006172994
YBR276C	0.024318407
YBR278W	0.024861745
YBR279W	0.073048873
YBR280C	0.012985153
YBR281C	0.023285513
YBR282W	0.155690308
YBR283C	0.408731085
YBR284W	0.002998764
YBR285W	0.007479403
YBR286W	1.256104404
YBR287W	0.101295103
YBR288C	0.069955795
YBR289W	0.015398329
YBR290W	0.052300443
YBR291C	0.028898753
YBR293W	0.010282345
YBR294W	0.000848876
YBR295W	0.002779885
YBR296C	0.01630627
YBR297W	0.003838242
YBR298C	0.008952532
YBR299W	0.006474788
YBR301W	0.118471685
YBR302C	0.096863208
YCL001W	0.035557667
YCL002C	0.010295027
YCL004W	0.000950234
YCL005W	0.013312351
YCL008C	0.006380295
YCL009C	0.229304639
YCL010C	0.010324091
YCL011C	0.291633993
YCL014W	0.001915082
YCL016C	0.025501522
YCL017C	0.169259797
YCL018W	0.035706928
YCL019W	0.109191128
YCL024W	0.002484784
YCL025C	0.077276743
YCL026CA	0.015102614
YCL027W	0.012211404
YCL028W	0.148877935
YCL029C	0.030204524
YCL030C	0.206098069
YCL031C	0.071870603
YCL032W	0.020579756
YCL033C	0.207958262
YCL034W	0.152139174
YCL035C	0.46765614
YCL036W	0.079717419
YCL037C	0.059873851
YCL038C	0.025143507
YCL039W	0.010400964
YCL040W	0.470250909
YCL042W	0.181212675
YCL043C	1.021788675
YCL044C	0.021882127
YCL045C	0.100097308
YCL047C	0.034403498
YCL048W	0.00377861
YCL049C	0.02893642
YCL050C	0.430939198
YCL051W	0.002858389
YCL052C	0.027367219
YCL054W	0.070950827
YCL055W	0.009573971
YCL056C	0.371034465
YCL057W	0.054246409
YCL059C	0.07327899
YCL061C	0.00383256
YCL063W	0.015922369
YCL064C	0.222601847
YCL066W	0.016230764
YCL067C	0.072692219
YCL068C	0.006533509
YCL069W	0.003298157
YCL073C	0.009573607
YCR002C	0.24680374
YCR003W	0.063579364
YCR004C	0.266650119
YCR005C	0.125365464
YCR007C	0.004016301
YCR008W	0.015091039
YCR009C	0.188165748
YCR010C	0.011154562
YCR011C	0.072014391
YCR012W	13.21133726
YCR014C	0.007804035
YCR015C	0.010428874
YCR016W	0.058547799
YCR017C	0.090990594
YCR018C	0.01529101
YCR019W	0.012217503
YCR020C	0.014537268
YCR020CA	0.01648947
YCR021C	0.015322351
YCR023C	0.02645416
YCR024C	0.005310843
YCR024CA	2.625889238
YCR026C	0.026973223
YCR027C	0.006028264
YCR028C	0.013285599
YCR028CA	0.261413693
YCR030C	0.018185719
YCR031C	4.118884915
YCR032W	0.003392205
YCR033W	0.009571553
YCR034W	0.344519609
YCR035C	0.127388234
YCR036W	0.03587581
YCR037C	0.005804657
YCR038C	0.001937117
YCR039C	0.111021065
YCR040W	0.018957708
YCR042C	0.012683891
YCR043C	0.036244479
YCR044C	0.079661199
YCR045C	0.001605921
YCR046C	0.067818341
YCR047C	0.187163369
YCR048W	0.057204565
YCR051W	0.257884206
YCR052W	0.04696709
YCR053W	0.515944442
YCR054C	0.010478714
YCR057C	0.029588549
YCR059C	0.075314673
YCR060W	0.091772804
YCR061W	0.034381385
YCR063W	0.000910399
YCR065W	0.008752967
YCR066W	0.006716173
YCR067C	0.028058227
YCR068W	0.002066068
YCR069W	0.091220254
YCR071C	0.056059559
YCR072C	0.077278033
YCR073C	0.005355994
YCR073WA	0.217732272
YCR075C	0.022896788
YCR076C	0.0601039
YCR077C	0.101562878
YCR079W	0.020800758
YCR081W	0.002817428
YCR082W	0.188711142
YCR083W	0.069876897
YCR084C	0.077286254
YCR086W	0.020428621
YCR088W	0.094884125
YCR089W	0.004899183
YCR090C	0.088199241
YCR091W	0.002425795
YCR092C	0.004652664
YCR093W	0.00796796
YCR094W	0.012187178
YCR095C	0.020137217
YCR096C	0.067620856
YCR097W	0.031656899
YCR098C	0.005056872
YCR099C	0.000323731
YCR100C	0.001264056
YCR101C	0.001305025
YCR102C	0.005051493
YCR104W	0.149299404
YCR105W	0.007760062
YCR106W	0.000817891
YCR107W	0.001543153
YDL001W	0.0238909
YDL002C	0.045024281
YDL003W	0.043049289
YDL004W	0.21210941
YDL005C	0.037500501
YDL006W	0.01794973
YDL007W	0.362039996
YDL008W	0.098137659
YDL010W	0.043173055
YDL012C	0.321968092
YDL013W	0.012508985
YDL014W	0.894921772
YDL015C	0.28082948
YDL017W	0.014279364
YDL018C	0.024002096
YDL019C	0.03318583
YDL020C	0.01199125
YDL021W	0.004696385
YDL022W	0.6184187
YDL024C	0.005396862
YDL025C	0.005128849
YDL027C	0.002601398
YDL028C	0.003840866
YDL029W	0.314228823
YDL030W	0.007163376
YDL031W	0.095673319
YDL033C	0.01019076
YDL035C	0.013122619
YDL036C	0.02242966
YDL037C	0.006375878
YDL038C	0.002650261
YDL039C	0.030643022
YDL040C	0.106092126
YDL042C	0.041177597
YDL043C	0.020902051
YDL044C	0.010924054
YDL045C	0.023978141
YDL045WA	0.10728658
YDL046W	0.148147246
YDL047W	0.033540938
YDL048C	0.011562618
YDL049C	0.005653515
YDL051W	0.214431317
YDL052C	0.144880415
YDL053C	0.085432887
YDL054C	0.035159127
YDL055C	0.893084443
YDL056W	0.008958657
YDL057W	0.021214603
YDL058W	0.009276075
YDL059C	0.008033249
YDL060W	0.16245876
YDL061C	0.909134446
YDL063C	0.02564237
YDL064W	0.161017279
YDL065C	0.048152128
YDL066W	0.303804854
YDL067C	0.256257754
YDL069C	0.009189525
YDL070W	0.015107467
YDL072C	0.457807452
YDL073W	0.005497277
YDL074C	0.017417091
YDL075W	4.813034352
YDL076C	0.028452911
YDL077C	0.011943972
YDL078C	0.190934794
YDL079C	0.002354344
YDL080C	0.012922542
YDL081C	4.552667753
YDL082W	2.019994894
YDL083C	2.11677033
YDL084W	0.337743836
YDL085W	0.011401001
YDL086W	0.118851764
YDL087C	0.004704129
YDL088C	0.016918824
YDL089W	0.007509801
YDL090C	0.021503435
YDL091C	0.008578142
YDL092W	0.074576693
YDL093W	0.041471793
YDL095W	0.336945297
YDL097C	0.158129865
YDL098C	0.018792651
YDL099W	0.062663786
YDL100C	0.392792275
YDL101C	0.025314197
YDL102W	0.036035263
YDL103C	0.109175454
YDL104C	0.006777191
YDL105W	0.008953095
YDL106C	0.011948787
YDL107W	0.003126231
YDL108W	0.032017254
YDL109C	0.00761687
YDL110C	0.049317048
YDL111C	0.105496946
YDL112W	0.077009164
YDL113C	0.003804428
YDL114W	0.003382489
YDL115C	0.024067585
YDL116W	0.040484624
YDL117W	0.029510953
YDL119C	0.004164227
YDL120W	0.00675897
YDL121C	0.102259268
YDL122W	0.11840485
YDL123W	0.021435957
YDL124W	0.376572463
YDL125C	0.629271238
YDL126C	0.61927677
YDL127W	0.011143957
YDL128W	0.33114293
YDL129W	0.006964322
YDL130W	15.9158427
YDL131W	0.322279241
YDL132W	0.094021785
YDL133W	0.018248288
YDL134C	0.044752392
YDL135C	0.129946807
YDL136W	3.174693776
YDL137W	0.61329308
YDL138W	0.00434506
YDL139C	0.011874945
YDL140C	0.119714597
YDL141W	0.019884762
YDL142C	0.017689745
YDL143W	0.21779606
YDL144C	0.083184816
YDL145C	0.118994329
YDL146W	0.002183378
YDL147W	0.21010734
YDL148C	0.056483731
YDL149W	0.001577295
YDL150W	0.043244521
YDL153C	0.233074853
YDL154W	0.003742171
YDL155W	0.023281598
YDL156W	0.004463826
YDL157C	0.195420564
YDL159W	0.008168002
YDL160C	0.067314129
YDL161W	0.062604027
YDL164C	0.045226355
YDL165W	0.193427838
YDL166C	0.157787772
YDL167C	0.00970302
YDL168W	0.16937431
YDL169C	0.008724121
YDL170W	0.00545305
YDL171C	0.084503886
YDL173W	0.121355941
YDL174C	0.145898805
YDL175C	0.015911608
YDL176W	0.001602214
YDL177C	0.020806951
YDL178W	0.051842139
YDL179W	0.011480849
YDL180W	0.015339814
YDL181W	0.042337188
