ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YDL240W	0.005641	1	nan	13859485239534804782229903333243671294246912.000	13859485239534804782229903333243671294246912.000	0.000	0	0	
YBL026W	0.6551	1	nan	311060.957	311060.957	0.000	0	0	
YJR063W	0.5529	1	nan	4290768.073	4290768.073	0.000	0	0	
YNL091W	0.04772	1	nan	58455416369478778308263588727447995219958623281086464.000	58455416369478778308263588727447995219958623281086464.000	0.000	0	0	
YOR272W	0.5824	1	nan	86899890556019539968.000	86899890556019539968.000	0.000	0	0	
YDL241W	0.08555	1	nan	4274310.478	4274310.478	0.000	0	0	
YHL019C	0.0528	1	nan	267795343980956071183253504.000	267795343980956071183253504.000	0.000	0	0	
YER133W	0.7596	1	nan	140281879355731.438	140281879355731.438	0.000	0	0	
YNL092W	0.01963	1	nan	940302245166322048.000	940302245166322048.000	0.000	0	0	
YLR272C	0.03308	1	nan	29673872660169243729752665105196021007254376415232.000	29673872660169243729752665105196021007254376415232.000	0.000	0	0	
YBL027W	12.62	1	nan	898342207.250	898342207.250	0.000	0	0	
YJR064W	1.887	1	nan	747031504124710670565376.000	747031504124710670565376.000	0.000	0	0	
YHL020C	0.4275	1	nan	2053073135752961280.000	2053073135752961280.000	0.000	0	0	
YER134C	0.2848	1	nan	752695650.584	752695650.584	0.000	0	0	
YDL243C	0.02945	1	nan	618865581987490.750	618865581987490.750	0.000	0	0	
YOR273C	0.08507	1	nan	8311806281300892611910828032.000	8311806281300892611910828032.000	0.000	0	0	
YNL093W	0.0153	1	nan	38025313612.136	38025313612.136	0.000	0	0	
YBL028C	0.2799	1	nan	776218.288	776218.288	0.000	0	0	
YDL244W	0.07783	1	nan	728072684442842.375	728072684442842.375	0.000	0	0	
YHL021C	0.1515	1	nan	329705499803878752256.000	329705499803878752256.000	0.000	0	0	
YLR273C	0.01327	1	nan	16739484250110842520406589440.000	16739484250110842520406589440.000	0.000	0	0	
YER136W	1.149	1	nan	41587077190753640448.000	41587077190753640448.000	0.000	0	0	
YJR065C	0.7389	1	nan	32777796477117153280.000	32777796477117153280.000	0.000	0	0	
YER137C	0.2025	1	nan	45720412.760	45720412.760	0.000	0	0	
YBL029W	0.0113	1	nan	150444166653074944.000	150444166653074944.000	0.000	0	0	
YNL094W	0.04423	1	nan	31266542712870639279013888.000	31266542712870639279013888.000	0.000	0	0	
YDL245C	0.007929	1	nan	1308973800199676302983168.000	1308973800199676302983168.000	0.000	0	0	
YOR274W	0.1315	1	nan	13024799911866601472.000	13024799911866601472.000	0.000	0	0	
YHL022C	0.01531	1	nan	580294127355713664.000	580294127355713664.000	0.000	0	0	
YDL246C	0.02925	1	nan	4335170829750435.000	4335170829750435.000	0.000	0	0	
YNL095C	0.01805	1	nan	3532016793685435098945552384.000	3532016793685435098945552384.000	0.000	0	0	
YBL030C	6.15	1	nan	66248493633696.711	66248493633696.711	0.000	0	0	
YLR274W	0.05226	1	nan	436485021983838063251920978444288.000	436485021983838063251920978444288.000	0.000	0	0	
YOR275C	0.03191	1	nan	47860635503734150216456077312.000	47860635503734150216456077312.000	0.000	0	0	
YDL247W	0.003846	1	nan	159401216449608558409940992.000	159401216449608558409940992.000	0.000	0	0	
YNL096C	3.404	1	nan	1123454559.436	1123454559.436	0.000	0	0	
YBL031W	0.01488	1	nan	3007155228241609.500	3007155228241609.500	0.000	0	0	
YHL023C	0.02724	1	nan	2894057341851509208600380355553901508442632224768.000	2894057341851509208600380355553901508442632224768.000	0.000	0	0	
YER138C	0.4359	1	nan	20699494635050711020928936018028709153812229887622700336867619605890203648.000	20699494635050711020928936018028709153812229887622700336867619605890203648.000	0.000	0	0	
YOR276W	2.828	1	nan	105304748.564	105304748.564	0.000	0	0	
YLR275W	0.3407	1	nan	1303116.677	1303116.677	0.000	0	0	
YNL097C	0.2233	1	nan	1220606552859238.750	1220606552859238.750	0.000	0	0	
YER139C	0.01945	1	nan	84600650054.713	84600650054.713	0.000	0	0	
YOR278W	0.1257	1	nan	5244707670972.476	5244707670972.476	0.000	0	0	
YBL032W	0.305	1	nan	51466588970665672.000	51466588970665672.000	0.000	0	0	
YDL248W	0.03361	1	nan	187983291992330784.000	187983291992330784.000	0.000	0	0	
YHL024W	0.01434	1	nan	4127447024158241445905575182336.000	4127447024158241445905575182336.000	0.000	0	0	
YJR066W	0.01158	1	nan	1041439975867616725518876537726791146162273554028802268342906506635878483159742952413915109026154151936.000	1041439975867616725518876537726791146162273554028802268342906506635878483159742952413915109026154151936.000	0.000	0	0	
YLR276C	0.3945	1	nan	43546606971309159935377408.000	43546606971309159935377408.000	0.000	0	0	
YER140W	0.06457	1	nan	3389734313170120105525248.000	3389734313170120105525248.000	0.000	0	0	
YNL098C	0.8723	1	nan	298283425212027.312	298283425212027.312	0.000	0	0	
YOR279C	0.06377	1	nan	194037339370196.469	194037339370196.469	0.000	0	0	
YHL025W	0.2552	1	nan	2533839826336703.500	2533839826336703.500	0.000	0	0	
YJR067C	0.2042	1	nan	23324049.960	23324049.960	0.000	0	0	
YDR001C	0.298	1	nan	100114382066850055940146263490560.000	100114382066850055940146263490560.000	0.000	0	0	
YBL033C	0.3236	1	nan	3960152976940622.000	3960152976940622.000	0.000	0	0	
YOR280C	0.2098	1	nan	2862196411905.661	2862196411905.661	0.000	0	0	
YER141W	0.919	1	nan	948394782293995159552.000	948394782293995159552.000	0.000	0	0	
YNL099C	0.3192	1	nan	204198008730.875	204198008730.875	0.000	0	0	
YLR277C	0.06104	1	nan	1491473345220315448410306716368896.000	1491473345220315448410306716368896.000	0.000	0	0	
YHL026C	0.08349	1	nan	159256282974074.375	159256282974074.375	0.000	0	0	
YDR002W	4.042	1	nan	3591298706.201	3591298706.201	0.000	0	0	
YJR068W	0.2694	1	nan	6692629221620936.000	6692629221620936.000	0.000	0	0	
YER142C	0.03928	1	nan	51249402040625.055	51249402040625.055	0.000	0	0	
YOR281C	0.2623	1	nan	18651557755968.582	18651557755968.582	0.000	0	0	
YNL100W	0.538	1	nan	171768385846.309	171768385846.309	0.000	0	0	
YDR003W	0.08006	1	nan	22560624706.072	22560624706.072	0.000	0	0	
YJR069C	0.5561	1	nan	3460565400.068	3460565400.068	0.000	0	0	
YBL034C	0.08246	1	nan	3327879144072030550683851140354582895560626897441615853035454464.000	3327879144072030550683851140354582895560626897441615853035454464.000	0.000	0	0	
YHL027W	0.2285	1	nan	840031040052184606866145280.000	840031040052184606866145280.000	0.000	0	0	
YLR278C	0.01106	1	nan	402555012091825560783587055173079226285548048963373891584.000	402555012091825560783587055173079226285548048963373891584.000	0.000	0	0	
YER143W	0.1935	1	nan	9536028970880620544.000	9536028970880620544.000	0.000	0	0	
YOR283W	0.4656	1	nan	59935299609.297	59935299609.297	0.000	0	0	
YJR070C	1.948	1	nan	285002483649946.188	285002483649946.188	0.000	0	0	
YNL101W	0.0304	1	nan	3613912679948714274376430649344.000	3613912679948714274376430649344.000	0.000	0	0	
YDR004W	0.02652	1	nan	323310885846396239872.000	323310885846396239872.000	0.000	0	0	
YLR281C	0.05972	1	nan	151501560.784	151501560.784	0.000	0	0	
YOR284W	0.03697	1	nan	399294759274.189	399294759274.189	0.000	0	0	
YHL028W	0.02779	1	nan	129971073710263911715962880.000	129971073710263911715962880.000	0.000	0	0	
YBL035C	0.168	1	nan	1573315251247399757163060527104.000	1573315251247399757163060527104.000	0.000	0	0	
YOR285W	3.759	1	nan	16664359.089	16664359.089	0.000	0	0	
YLR283W	0.1392	1	nan	316559609223672.312	316559609223672.312	0.000	0	0	
YER144C	0.03212	1	nan	61673864304712097014401025177550848.000	61673864304712097014401025177550848.000	0.000	0	0	
YJR072C	1.085	1	nan	133977777626454304.000	133977777626454304.000	0.000	0	0	
YDR005C	0.08866	1	nan	714653616971728000.000	714653616971728000.000	0.000	0	0	
